,group1,group2,weight,group1_name,group2_name,num_members1,num_members2,category_name1,category_name2
36,19292162,19654655,1,Nashville CocoaHeads,Nashville Music Programmers,237,516,Tech,Tech
37,21182471,1187715,1,THE GARDEN OF GOOD,What the Pho!,166,1889,Community & Environment,Food & Drink
38,21182471,25357512,1,THE GARDEN OF GOOD,Interfaith Scripture Study,166,41,Community & Environment,Religion & Beliefs
39,21182471,19728145,2,THE GARDEN OF GOOD,Stepping Out Social Dance Meetup,166,1778,Community & Environment,Dancing
40,21182471,7699922,1,THE GARDEN OF GOOD,Thinking Christians Book Club,166,195,Community & Environment,Religion & Beliefs
41,21182471,20940321,1,THE GARDEN OF GOOD,B'nei Mikra Nashville (Torah Study),166,86,Community & Environment,Religion & Beliefs
42,21182471,18801828,1,THE GARDEN OF GOOD,"SCORE Nashville Events, Networking and Workshops",166,727,Community & Environment,Career & Business
43,21182471,1642477,1,THE GARDEN OF GOOD,"Movie Lovers:  New, Classic, and Foreign Films Meetup",166,875,Community & Environment,Movies & Film
44,21182471,18243826,1,THE GARDEN OF GOOD,Middle TN 40+ singles,166,2583,Community & Environment,Singles
45,21182471,18297014,2,THE GARDEN OF GOOD,Nashville Christian Singles,166,1683,Community & Environment,Outdoors & Adventure
46,21182471,1473660,1,THE GARDEN OF GOOD,Nashville Kayak Lessons,166,3260,Community & Environment,Outdoors & Adventure
47,18288648,21715712,1,Music Industry Forum- Who kNew Nashville,Happy Hour Networking for Charity,992,73,Music,Community & Environment
48,18288648,18562307,1,Music Industry Forum- Who kNew Nashville,Nashville Young Professionals Meetup,992,3210,Music,Career & Business
49,18288648,541319,1,Music Industry Forum- Who kNew Nashville,The Nashville Songwriters Meetup Group,992,2644,Music,Music
50,18288648,19728145,2,Music Industry Forum- Who kNew Nashville,Stepping Out Social Dance Meetup,992,1778,Music,Dancing
51,18288648,7836842,2,Music Industry Forum- Who kNew Nashville,Nashville UX,992,1318,Music,Tech
52,18288648,17467312,1,Music Industry Forum- Who kNew Nashville,NashMicro - The Nashville Microcontroller Makers Group,992,646,Music,Tech
53,18288648,1697586,1,Music Industry Forum- Who kNew Nashville,The Nashville Chinese Language and Culture Meetup Group,992,243,Music,Language & Ethnic Identity
54,18288648,18955830,1,Music Industry Forum- Who kNew Nashville,Eat Love Nash,992,5008,Music,Socializing
55,18288648,4063542,1,Music Industry Forum- Who kNew Nashville,Networking for Charity,992,1615,Music,Career & Business
56,18288648,18767675,1,Music Industry Forum- Who kNew Nashville,Nashville Music-Technology Group,992,159,Music,Tech
57,18288648,339011,1,Music Industry Forum- Who kNew Nashville,Nashville Hiking Meetup,992,15838,Music,Outdoors & Adventure
58,18288648,18556100,1,Music Industry Forum- Who kNew Nashville,Nashville Wakeboarding and surfing Meetup,992,124,Music,Sports & Recreation
59,18288648,16062152,2,Music Industry Forum- Who kNew Nashville,Design Thinking Nashville,992,1026,Music,Tech
60,18288648,1417288,1,Music Industry Forum- Who kNew Nashville,"The Nashville Singer, Musician and Songwriter Meetup Group",992,2060,Music,Music
61,18288648,22985677,1,Music Industry Forum- Who kNew Nashville,Nashville Investment Angels,992,47,Music,Career & Business
62,18288648,1457232,1,Music Industry Forum- Who kNew Nashville,Volunteer Nashville,992,2921,Music,Community & Environment
63,18288648,19266390,1,Music Industry Forum- Who kNew Nashville,Nashville Networking Business Luncheon,992,1444,Music,Career & Business
64,18288648,18506072,1,Music Industry Forum- Who kNew Nashville,20s in Nashville,992,3811,Music,Socializing
65,18288648,1498076,1,Music Industry Forum- Who kNew Nashville,Christian Business Leaders Roundtable | CEO Fellowship,992,887,Music,Career & Business
66,18288648,21174496,1,Music Industry Forum- Who kNew Nashville,20's & 30's Women looking for girlfriends,992,2782,Music,Socializing
67,18288648,20947040,1,Music Industry Forum- Who kNew Nashville,Nashville Blockchain Meetup,992,517,Music,Tech
68,18288648,18529135,1,Music Industry Forum- Who kNew Nashville,Franklin AM - Networking,992,360,Music,Career & Business
69,18288648,19094001,1,Music Industry Forum- Who kNew Nashville,Middle Tennessee Entrepreneurs MasterMind Meetup,992,366,Music,Career & Business
70,18288648,18243826,1,Music Industry Forum- Who kNew Nashville,Middle TN 40+ singles,992,2583,Music,Singles
71,18288648,15297782,1,Music Industry Forum- Who kNew Nashville,Nashville Product Meetup,992,560,Music,Tech
72,18288648,18414590,1,Music Industry Forum- Who kNew Nashville,Women 'n' Wine of Nashville,992,690,Music,Career & Business
73,20064276,1358081,1,Nashville Women of a Certain Age Meetup,Nashville Online Business Strategy Meetup,225,1447,Socializing,Career & Business
74,20064276,6928642,2,Nashville Women of a Certain Age Meetup,Middle Tennessee Sierra Club Outings and Adventures,225,3509,Socializing,Community & Environment
75,20064276,18456837,1,Nashville Women of a Certain Age Meetup,Nashville Sailing,225,280,Socializing,Outdoors & Adventure
76,20064276,12847372,1,Nashville Women of a Certain Age Meetup,Mount Juliet/Wilson County Hiking & Outdoors,225,802,Socializing,Outdoors & Adventure
77,20064276,19728145,3,Nashville Women of a Certain Age Meetup,Stepping Out Social Dance Meetup,225,1778,Socializing,Dancing
78,20064276,19262745,2,Nashville Women of a Certain Age Meetup,Tennessee Americans United for Separation of Church & State,225,185,Socializing,Movements & Politics
79,20064276,19416348,1,Nashville Women of a Certain Age Meetup,Bellevue Business Networking Meetup,225,298,Socializing,Career & Business
80,20064276,2520612,1,Nashville Women of a Certain Age Meetup,The Nashville Girly Book Club,225,1770,Socializing,Book Clubs
81,20064276,1585196,1,Nashville Women of a Certain Age Meetup,Tennessee Hiking Group,225,4828,Socializing,Outdoors & Adventure
82,20064276,18955830,2,Nashville Women of a Certain Age Meetup,Eat Love Nash,225,5008,Socializing,Socializing
83,20064276,20181560,2,Nashville Women of a Certain Age Meetup,Tails of the Trail,225,1241,Socializing,Pets & Animals
84,20064276,3636792,1,Nashville Women of a Certain Age Meetup,Nashville Quantum Energy Play Group,225,196,Socializing,New Age & Spirituality
85,20064276,339011,1,Nashville Women of a Certain Age Meetup,Nashville Hiking Meetup,225,15838,Socializing,Outdoors & Adventure
86,20064276,1665349,1,Nashville Women of a Certain Age Meetup,East Nashville Book Club,225,249,Socializing,Book Clubs
87,20064276,19049542,1,Nashville Women of a Certain Age Meetup,Blues Dance Nashville,225,865,Socializing,Music
88,20064276,1179719,1,Nashville Women of a Certain Age Meetup,Nashvegans!,225,965,Socializing,Movements & Politics
89,20064276,1431882,1,Nashville Women of a Certain Age Meetup,Nashville Outdoor Adventures Club,225,1328,Socializing,Outdoors & Adventure
90,20064276,24584525,1,Nashville Women of a Certain Age Meetup,You are a Badass!,225,591,Socializing,Outdoors & Adventure
91,20064276,1457232,1,Nashville Women of a Certain Age Meetup,Volunteer Nashville,225,2921,Socializing,Community & Environment
92,20064276,5282132,2,Nashville Women of a Certain Age Meetup,One Dharma Nashville Meditation Group,225,1191,Socializing,New Age & Spirituality
93,20064276,1371991,2,Nashville Women of a Certain Age Meetup,The Joy of Dining Out with Friends Meetup,225,2032,Socializing,Food & Drink
94,20064276,21933145,1,Nashville Women of a Certain Age Meetup,The Wild Woman Project - Nashville,225,137,Socializing,New Age & Spirituality
95,20064276,20377949,1,Nashville Women of a Certain Age Meetup,Nashville Comedy Meetup,225,326,Socializing,Socializing
96,20064276,20129636,1,Nashville Women of a Certain Age Meetup,Nashville Classic and Contemporary Fiction Group (for women),225,112,Socializing,Book Clubs
97,20064276,19934054,1,Nashville Women of a Certain Age Meetup,Outdoor Fit - HIIT,225,205,Socializing,Fitness
98,20064276,24153712,1,Nashville Women of a Certain Age Meetup,SoulScaped Living,225,84,Socializing,Health & Wellbeing
99,20064276,24811380,1,Nashville Women of a Certain Age Meetup,Marigolds Author Group + Travel Club for Christian Women 50+,225,10,Socializing,Arts & Culture
100,20064276,929402,2,Nashville Women of a Certain Age Meetup,Paddle Adventures Unlimited,225,6331,Socializing,Outdoors & Adventure
101,20064276,1473660,2,Nashville Women of a Certain Age Meetup,Nashville Kayak Lessons,225,3260,Socializing,Outdoors & Adventure
102,20064276,1187715,2,Nashville Women of a Certain Age Meetup,What the Pho!,225,1889,Socializing,Food & Drink
103,20064276,10426762,1,Nashville Women of a Certain Age Meetup,Women 'n' Wine of Green Hills,225,401,Socializing,Career & Business
104,20064276,1492619,3,Nashville Women of a Certain Age Meetup,Women's  Business Network,225,2163,Socializing,Career & Business
105,20064276,20068490,1,Nashville Women of a Certain Age Meetup,Pranic Healing Nashville,225,128,Socializing,New Age & Spirituality
106,20064276,6230672,3,Nashville Women of a Certain Age Meetup,Bellevue Area Meetup: Meet New Friends!,225,493,Socializing,Socializing
107,20064276,19713173,1,Nashville Women of a Certain Age Meetup,Transplant Nashville,225,2152,Socializing,Socializing
108,20064276,18801828,1,Nashville Women of a Certain Age Meetup,"SCORE Nashville Events, Networking and Workshops",225,727,Socializing,Career & Business
109,20064276,20186791,1,Nashville Women of a Certain Age Meetup,Free & Cheap Events,225,2189,Socializing,Socializing
110,20064276,23723436,1,Nashville Women of a Certain Age Meetup,Donelson Networking Group,225,87,Socializing,Socializing
111,20064276,18589616,1,Nashville Women of a Certain Age Meetup,Agile Nashville User Group,225,862,Socializing,Tech
112,20064276,18297014,2,Nashville Women of a Certain Age Meetup,Nashville Christian Singles,225,1683,Socializing,Outdoors & Adventure
113,20064276,4126912,1,Nashville Women of a Certain Age Meetup,Nashville Online Entrepreneurs,225,1532,Socializing,Career & Business
114,20064276,18953664,1,Nashville Women of a Certain Age Meetup,Nashville Farm to Fork,225,683,Socializing,Food & Drink
115,20064276,20384452,1,Nashville Women of a Certain Age Meetup,Thrills and Chills Book Club,225,105,Socializing,Book Clubs
116,20064276,1751502,1,Nashville Women of a Certain Age Meetup,Women 'n' Wine of Williamson County,225,959,Socializing,Career & Business
117,20064276,24675279,1,Nashville Women of a Certain Age Meetup,Circle Bliss ~ Nashville ~ Energy Healing ~ Ataana Method,225,112,Socializing,New Age & Spirituality
118,20064276,7699922,1,Nashville Women of a Certain Age Meetup,Thinking Christians Book Club,225,195,Socializing,Religion & Beliefs
119,20064276,6284242,2,Nashville Women of a Certain Age Meetup,All Things Gardening,225,293,Socializing,Community & Environment
120,20064276,4705492,1,Nashville Women of a Certain Age Meetup,"WOMEN ""Word of Mouth Entrepreneurial Networkers""",225,2307,Socializing,Career & Business
121,20064276,1576921,1,Nashville Women of a Certain Age Meetup,Music City Jazz Fans,225,501,Socializing,Music
122,20064276,11077852,3,Nashville Women of a Certain Age Meetup,Sunday Assembly Nashville,225,918,Socializing,Religion & Beliefs
123,20064276,20836828,1,Nashville Women of a Certain Age Meetup,Black Women Read Book Club,225,35,Socializing,Book Clubs
124,20064276,22197221,1,Nashville Women of a Certain Age Meetup,Team Green Adventures,225,1812,Socializing,Outdoors & Adventure
125,20064276,22422502,2,Nashville Women of a Certain Age Meetup,Conscious Transformation - Nashville,225,387,Socializing,Health & Wellbeing
126,20064276,20197351,1,Nashville Women of a Certain Age Meetup,Nashville Longevity Communities,225,53,Socializing,Socializing
127,20064276,1642477,3,Nashville Women of a Certain Age Meetup,"Movie Lovers:  New, Classic, and Foreign Films Meetup",225,875,Socializing,Movies & Film
128,20064276,18361585,1,Nashville Women of a Certain Age Meetup,Make Nashville Meetup,225,1684,Socializing,Tech
129,20064276,18243826,2,Nashville Women of a Certain Age Meetup,Middle TN 40+ singles,225,2583,Socializing,Singles
130,20064276,14566132,1,Nashville Women of a Certain Age Meetup,Nashville ADHD Adults,225,359,Socializing,Support
131,20064276,11776502,1,Nashville Women of a Certain Age Meetup,NASHVILLE REIKI & OILS,225,610,Socializing,New Age & Spirituality
132,20064276,6629622,3,Nashville Women of a Certain Age Meetup,North Nashville Party Chicks,225,435,Socializing,Socializing
133,20064276,18256892,1,Nashville Women of a Certain Age Meetup,Nashville Holistic Association,225,549,Socializing,Health & Wellbeing
134,20064276,18414590,1,Nashville Women of a Certain Age Meetup,Women 'n' Wine of Nashville,225,690,Socializing,Career & Business
135,19275797,535553,1,Mindful Cyborgs Meditation,Nash.rb,256,881,Tech,Tech
136,19275797,16487812,2,Mindful Cyborgs Meditation,Code for Nashville,256,1763,Tech,Tech
137,19275797,18456837,1,Mindful Cyborgs Meditation,Nashville Sailing,256,280,Tech,Outdoors & Adventure
138,19275797,11862932,1,Mindful Cyborgs Meditation,Nashville Linux Users Group,256,564,Tech,Tech
139,19275797,18494105,1,Mindful Cyborgs Meditation,The Iron Yard - Nashville,256,1491,Tech,Tech
140,19275797,4631582,1,Mindful Cyborgs Meditation,Nashville Daoist (Taoist) & Chinese Philosophy Meetup Group,256,192,Tech,New Age & Spirituality
141,19275797,1728035,1,Mindful Cyborgs Meditation,WordPress Nashville,256,1643,Tech,Tech
142,19275797,20186791,1,Mindful Cyborgs Meditation,Free & Cheap Events,256,2189,Tech,Socializing
143,19275797,6641192,1,Mindful Cyborgs Meditation,Nashville Shambhala Meditation Group,256,874,Tech,Health & Wellbeing
144,19275797,7836842,1,Mindful Cyborgs Meditation,Nashville UX,256,1318,Tech,Tech
145,19275797,19997487,1,Mindful Cyborgs Meditation,Developer Launchpad Nashville,256,576,Tech,Tech
146,19275797,17467312,1,Mindful Cyborgs Meditation,NashMicro - The Nashville Microcontroller Makers Group,256,646,Tech,Tech
147,19275797,405938,1,Mindful Cyborgs Meditation,MTRAS ~ MidTn Robotic Arts Society,256,525,Tech,Tech
148,19275797,18855476,1,Mindful Cyborgs Meditation,Savvy Coders - Nashville,256,243,Tech,Tech
149,19275797,9376702,1,Mindful Cyborgs Meditation,Nashville Women Programmers,256,1091,Tech,Tech
150,19275797,10178242,1,Mindful Cyborgs Meditation,Nashville Mobile Developers,256,1166,Tech,Tech
151,19275797,19904711,1,Mindful Cyborgs Meditation,NashSec,256,107,Tech,Tech
152,19275797,227528,1,Mindful Cyborgs Meditation,Nashville Spanish Meetup,256,1417,Tech,Language & Ethnic Identity
153,19275797,14546632,1,Mindful Cyborgs Meditation,Nashville Machine Learning Meetup,256,451,Tech,Tech
154,19275797,19030621,1,Mindful Cyborgs Meditation,"Lesbians in the Workplace, Nashville",256,567,Tech,LGBT
155,19275797,10016242,1,Mindful Cyborgs Meditation,NashJS,256,1975,Tech,Tech
156,19275797,7130232,1,Mindful Cyborgs Meditation,Nashville Software Beginners,256,1308,Tech,Tech
157,20135961,18562307,1,20s/30s Nashville Online Dating Rebellion!,Nashville Young Professionals Meetup,1124,3210,Socializing,Career & Business
158,20135961,11375762,1,20s/30s Nashville Online Dating Rebellion!,Music City Drinking Buddies,1124,2021,Socializing,Socializing
159,20135961,21390741,1,20s/30s Nashville Online Dating Rebellion!,The Nashville Big Red Machine,1124,16,Socializing,Sports & Recreation
160,20135961,19713173,3,20s/30s Nashville Online Dating Rebellion!,Transplant Nashville,1124,2152,Socializing,Socializing
161,20135961,19249559,1,20s/30s Nashville Online Dating Rebellion!,Climb Nashville Meetup,1124,933,Socializing,Outdoors & Adventure
162,20135961,18506072,3,20s/30s Nashville Online Dating Rebellion!,20s in Nashville,1124,3811,Socializing,Socializing
163,20135961,19847832,1,20s/30s Nashville Online Dating Rebellion!,"Chicago Cubs, Blackhawks and Bears Fans near Nashville",1124,341,Socializing,Sports & Recreation
164,20135961,3870752,1,20s/30s Nashville Online Dating Rebellion!,Nashville Foam Fighting - Dur Demarion - Belegarth,1124,589,Socializing,Games
165,20135961,6190702,1,20s/30s Nashville Online Dating Rebellion!,Fun Happenings Social Group-Nashvilles Most Fun Social Group,1124,2050,Socializing,Socializing
166,20135961,19828207,2,20s/30s Nashville Online Dating Rebellion!,Nashville Purely Social and Super-Awesome Social Group,1124,1441,Socializing,Socializing
167,20135961,8908602,1,20s/30s Nashville Online Dating Rebellion!,Nashville Network After Work - Business Networking Events,1124,2622,Socializing,Career & Business
168,3870752,16487812,1,Nashville Foam Fighting - Dur Demarion - Belegarth,Code for Nashville,589,1763,Games,Tech
169,3870752,19728145,1,Nashville Foam Fighting - Dur Demarion - Belegarth,Stepping Out Social Dance Meetup,589,1778,Games,Dancing
170,3870752,18494105,1,Nashville Foam Fighting - Dur Demarion - Belegarth,The Iron Yard - Nashville,589,1491,Games,Tech
171,3870752,20186791,1,Nashville Foam Fighting - Dur Demarion - Belegarth,Free & Cheap Events,589,2189,Games,Socializing
172,3870752,1451826,1,Nashville Foam Fighting - Dur Demarion - Belegarth,Nashville Science Fiction Book Club,589,726,Games,Education & Learning
173,3870752,16447162,1,Nashville Foam Fighting - Dur Demarion - Belegarth,Nash |> Elixir,589,391,Games,Tech
174,3870752,1526075,3,Nashville Foam Fighting - Dur Demarion - Belegarth,Nashville Area Gamer Association - NAGA,589,2730,Games,Games
175,3870752,18180033,1,Nashville Foam Fighting - Dur Demarion - Belegarth,Nashville Chess and Chat Meetup,589,257,Games,Games
176,3870752,339011,1,Nashville Foam Fighting - Dur Demarion - Belegarth,Nashville Hiking Meetup,589,15838,Games,Outdoors & Adventure
177,3870752,14649032,1,Nashville Foam Fighting - Dur Demarion - Belegarth,Nashville Game Developers,589,516,Games,Tech
178,3870752,2542802,1,Nashville Foam Fighting - Dur Demarion - Belegarth,Nashville Flag Football,589,645,Games,Sports & Recreation
179,3870752,18506072,2,Nashville Foam Fighting - Dur Demarion - Belegarth,20s in Nashville,589,3811,Games,Socializing
180,3870752,11625832,1,Nashville Foam Fighting - Dur Demarion - Belegarth,PyNash,589,1442,Games,Tech
181,3870752,526316,1,Nashville Foam Fighting - Dur Demarion - Belegarth,¡Diablos Que Bailan! (Salsa Nashville),589,3472,Games,Dancing
182,3870752,16877932,1,Nashville Foam Fighting - Dur Demarion - Belegarth,Nashville Lisp Sync,589,152,Games,Tech
183,21143591,1772099,1,Wilson County Women Volunteering and Having Fun,Nashville 80s Music & More Meetup,285,1763,Socializing,Music
184,21143591,227528,1,Wilson County Women Volunteering and Having Fun,Nashville Spanish Meetup,285,1417,Socializing,Language & Ethnic Identity
185,21143591,20806988,1,Wilson County Women Volunteering and Having Fun,Events of the Camera Club Council of Tennessee,285,318,Socializing,Photography
186,21143591,19728145,1,Wilson County Women Volunteering and Having Fun,Stepping Out Social Dance Meetup,285,1778,Socializing,Dancing
187,21143591,4705492,1,Wilson County Women Volunteering and Having Fun,"WOMEN ""Word of Mouth Entrepreneurial Networkers""",285,2307,Socializing,Career & Business
188,21143591,21933145,1,Wilson County Women Volunteering and Having Fun,The Wild Woman Project - Nashville,285,137,Socializing,New Age & Spirituality
189,21143591,21174496,1,Wilson County Women Volunteering and Having Fun,20's & 30's Women looking for girlfriends,285,2782,Socializing,Socializing
190,21143591,22730657,1,Wilson County Women Volunteering and Having Fun,Her Heart Project,285,490,Socializing,Health & Wellbeing
191,21143591,20336043,5,Wilson County Women Volunteering and Having Fun,Nashville Ladies Volunteering and Having Fun,285,1639,Socializing,Socializing
192,21143591,15552112,1,Wilson County Women Volunteering and Having Fun,Intellectual Society of Greater Nashville,285,652,Socializing,Education & Learning
193,21143591,18243826,1,Wilson County Women Volunteering and Having Fun,Middle TN 40+ singles,285,2583,Socializing,Singles
194,21143591,18297014,1,Wilson County Women Volunteering and Having Fun,Nashville Christian Singles,285,1683,Socializing,Outdoors & Adventure
195,21143591,18955830,1,Wilson County Women Volunteering and Having Fun,Eat Love Nash,285,5008,Socializing,Socializing
196,1585196,1102353,7,Tennessee Hiking Group,Nashville Backpacker Meetup,4828,3861,Outdoors & Adventure,Outdoors & Adventure
197,1585196,23816722,1,Tennessee Hiking Group,Nashville Wanderlusters,4828,643,Outdoors & Adventure,Outdoors & Adventure
198,1585196,2556962,1,Tennessee Hiking Group,Middle Tennessee Motorcycle Riders,4828,1055,Outdoors & Adventure,Cars & Motorcycles
199,1585196,2520612,1,Tennessee Hiking Group,The Nashville Girly Book Club,4828,1770,Outdoors & Adventure,Book Clubs
200,1585196,20583464,1,Tennessee Hiking Group,Mediumship and Intuitive Development Circle of Nashville,4828,234,Outdoors & Adventure,New Age & Spirituality
201,1585196,6641192,1,Tennessee Hiking Group,Nashville Shambhala Meditation Group,4828,874,Outdoors & Adventure,Health & Wellbeing
202,1585196,18955830,10,Tennessee Hiking Group,Eat Love Nash,4828,5008,Outdoors & Adventure,Socializing
203,1585196,20181560,7,Tennessee Hiking Group,Tails of the Trail,4828,1241,Outdoors & Adventure,Pets & Animals
204,1585196,18567736,1,Tennessee Hiking Group,MHO Nashville Active Adventures,4828,1696,Outdoors & Adventure,Outdoors & Adventure
205,1585196,22023226,1,Tennessee Hiking Group,Paid To Speak Entrepreneurs,4828,328,Outdoors & Adventure,Career & Business
206,1585196,339011,44,Tennessee Hiking Group,Nashville Hiking Meetup,4828,15838,Outdoors & Adventure,Outdoors & Adventure
207,1585196,1772099,2,Tennessee Hiking Group,Nashville 80s Music & More Meetup,4828,1763,Outdoors & Adventure,Music
208,1585196,1179719,1,Tennessee Hiking Group,Nashvegans!,4828,965,Outdoors & Adventure,Movements & Politics
209,1585196,1417288,2,Tennessee Hiking Group,"The Nashville Singer, Musician and Songwriter Meetup Group",4828,2060,Outdoors & Adventure,Music
210,1585196,18604107,1,Tennessee Hiking Group,Middle Tennessee Kayak Lessons Meetup,4828,1824,Outdoors & Adventure,Outdoors & Adventure
211,1585196,168014,1,Tennessee Hiking Group,The Nashville Writers Meetup,4828,3286,Outdoors & Adventure,Writing
212,1585196,13560402,1,Tennessee Hiking Group,Nashville Modern Excel & Power BI User Group,4828,540,Outdoors & Adventure,Tech
213,1585196,19030621,2,Tennessee Hiking Group,"Lesbians in the Workplace, Nashville",4828,567,Outdoors & Adventure,LGBT
214,1585196,16477792,2,Tennessee Hiking Group,Nashville .NET User Group,4828,1371,Outdoors & Adventure,Tech
215,1585196,20166757,1,Tennessee Hiking Group,Science Club Nashville,4828,281,Outdoors & Adventure,Education & Learning
216,1585196,1507431,3,Tennessee Hiking Group,Euchre in Nashville,4828,427,Outdoors & Adventure,Games
217,1585196,6190702,1,Tennessee Hiking Group,Fun Happenings Social Group-Nashvilles Most Fun Social Group,4828,2050,Outdoors & Adventure,Socializing
218,1585196,15552112,2,Tennessee Hiking Group,Intellectual Society of Greater Nashville,4828,652,Outdoors & Adventure,Education & Learning
219,1585196,24039540,1,Tennessee Hiking Group,Get Out 'N Game - Nashville,4828,188,Outdoors & Adventure,Games
220,1585196,1292918,2,Tennessee Hiking Group,The Middle TN Red Sox Nation Meetup Group,4828,330,Outdoors & Adventure,Sports & Recreation
221,1585196,929402,8,Tennessee Hiking Group,Paddle Adventures Unlimited,4828,6331,Outdoors & Adventure,Outdoors & Adventure
222,1585196,1473660,1,Tennessee Hiking Group,Nashville Kayak Lessons,4828,3260,Outdoors & Adventure,Outdoors & Adventure
223,1585196,1240194,1,Tennessee Hiking Group,Nashville Rock Climbing MeetUP,4828,724,Outdoors & Adventure,Outdoors & Adventure
224,1585196,541319,1,Tennessee Hiking Group,The Nashville Songwriters Meetup Group,4828,2644,Outdoors & Adventure,Music
225,1585196,19708553,1,Tennessee Hiking Group,Nashville Cooking Lessons Meetup,4828,557,Outdoors & Adventure,Food & Drink
226,1585196,19824779,1,Tennessee Hiking Group,Nashville BarkHappy Dog Meetup,4828,243,Outdoors & Adventure,Pets & Animals
227,1585196,6230672,3,Tennessee Hiking Group,Bellevue Area Meetup: Meet New Friends!,4828,493,Outdoors & Adventure,Socializing
228,1585196,1776274,2,Tennessee Hiking Group,"Nashville SEO & Internet Marketing, Over 1,600 Members!",4828,1649,Outdoors & Adventure,Career & Business
229,1585196,18795154,1,Tennessee Hiking Group,Big East Fork Folk / Jazz Music Meetup,4828,532,Outdoors & Adventure,Music
230,1585196,19713173,9,Tennessee Hiking Group,Transplant Nashville,4828,2152,Outdoors & Adventure,Socializing
231,1585196,18494105,2,Tennessee Hiking Group,The Iron Yard - Nashville,4828,1491,Outdoors & Adventure,Tech
232,1585196,22374557,1,Tennessee Hiking Group,1-on-1 Conversations Nashville,4828,289,Outdoors & Adventure,Language & Ethnic Identity
233,1585196,252576,4,Tennessee Hiking Group,Real Estate Investors of Nashville Meetup Group,4828,1035,Outdoors & Adventure,Career & Business
